X,Y,Z,ROLL,PITCH,YAW
-0.182,0.54,0.073,-0.13057,-0.23509,-0.05659
-0.196,0.562,0.042,-0.23019,-0.3199,-0.10712
-0.359,0.709,-1.094,-0.09132,-0.14891,-0.02468
-0.643,1.232,0.691,-0.24946,0.28126,0.15448
-0.109,0.552,0.104,0.19351,-0.17645,-0.05269
-0.266,0.261,-0.072,0.18137,0.09721,0.04693
0.145,0.272,0.011,-0.31697,-0.28494,-0.14277
0.044,0.467,-0.179,-0.27857,-0.00578,-0.15391
0.04,0.48,-0.14,-0.2446,0.20582,-0.13704
0.169,0.476,-0.167,-0.23292,-0.00992,-0.23567
0.077,0.474,-0.023,-0.23872,0.28534,-0.27384
0.002,0.384,0.106,-0.14529,-0.25491,0.32145
-0.003,0.437,0.103,-0.05842,-0.2159,0.20015
-0.086,0.617,0.062,-0.01911,-0.2175,0.18763
-0.089,0.71,-0.105,-0.01262,-0.17628,0.219
-0.111,0.697,-0.187,-0.08086,-0.13743,0.23465
-0.094,0.685,-0.144,-0.2001,-0.21361,0.24679
-0.092,0.662,-0.101,-0.31743,-0.31995,0.20984
-0.089,0.639,-0.084,0.23267,0.1977,0.18832
0.013,0.576,0.004,0.11129,0.07274,0.15145
0.113,0.493,-0.011,0.16938,0.06587,-0.00129
0.0,0.557,-0.006,0.21687,0.01351,-0.14938
0.054,0.678,-0.025,0.26519,0.17557,-0.23251
-0.078,0.742,-0.065,0.27068,0.25916,-0.21641
-0.171,0.797,-0.106,0.28061,-0.30949,-0.16923
-0.257,0.83,-0.083,0.28564,-0.18895,-0.08458
-0.2,0.853,-0.139,0.22427,-0.16842,-0.03916
-0.173,0.846,-0.03,0.22541,0.14318,0.02396
